======================================================================
🔍 DEBUG: ANÁLISE DE PROTEÍNAS EXTRAÍDAS
======================================================================

📊 Total de proteínas extraídas (ANTES de deduplicação): 1829

⚠️ Locus_tags DUPLICADOS encontrados: 211

⭐ Proteínas que aparecem APENAS 1x (NÃO foram duplicadas): 1407
   - ACYTXH_13975: bgc=, size=108aa
   - ACYTXH_13990: bgc=, size=163aa
   - ACYTXH_14035: bgc=, size=169aa
   - ACYTXH_14040: bgc=, size=295aa
   - ACYTXH_14045: bgc=, size=240aa
   - ACYTXH_14080: bgc=, size=303aa
   - ACYTXH_14100: bgc=, size=142aa
   - ACYTXH_14180: bgc=, size=56aa
   - ACYTXH_14195: bgc=, size=94aa
   - ACYTXH_14215: bgc=, size=42aa
   - ACYTXH_14220: bgc=, size=107aa
   - ACYTXH_14270: bgc=, size=98aa
   - ACYTXH_14275: bgc=, size=122aa
   - ACYTXH_14355: bgc=, size=57aa
   - ACYTXH_14360: bgc=, size=69aa
   - ACYTXH_14390: bgc=, size=54aa
   - ACYTXH_14430: bgc=, size=73aa
   - ACYTXH_14535: bgc=, size=127aa
   - ACYTXH_14575: bgc=, size=53aa
   - ACYTXH_14600: bgc=, size=131aa
   - ACYTXH_14630: bgc=, size=161aa
   - ACYTXH_14665: bgc=, size=57aa
   - ACYTXH_14670: bgc=, size=81aa
   - ACYTXH_14675: bgc=, size=346aa
   - ACYTXH_14690: bgc=, size=44aa
   - ACYTXH_14745: bgc=, size=72aa
   - ACYTXH_14770: bgc=, size=70aa
   - ACYTXH_14780: bgc=, size=76aa
   - ACYTXH_14810: bgc=, size=141aa
   - ACYTXH_14865: bgc=, size=89aa
   - ACYTXH_14955: bgc=, size=131aa
   - ACYTXH_14985: bgc=, size=110aa
   - ACYTXH_14995: bgc=, size=160aa
   - ACYTXH_15000: bgc=, size=154aa
   - ACYTXH_15015: bgc=, size=148aa
   - ACYTXH_15205: bgc=, size=59aa
   - ACYTXH_15225: bgc=, size=71aa
   - ACYTXH_15235: bgc=, size=134aa
   - ACYTXH_15240: bgc=, size=73aa
   - ACYTXH_15250: bgc=, size=121aa
   - ACYTXH_15280: bgc=, size=40aa
   - ACYTXH_15290: bgc=, size=133aa
   - ACYTXH_15310: bgc=, size=54aa
   - ACYTXH_15330: bgc=, size=81aa
   - ACYTXH_15405: bgc=, size=56aa
   - ACYTXH_15420: bgc=, size=66aa
   - ACYTXH_15460: bgc=, size=95aa
   - ACYTXH_15475: bgc=, size=98aa
   - ACYTXH_15480: bgc=, size=559aa
   - ACYTXH_15510: bgc=, size=81aa
   - ACYTXH_15545: bgc=, size=79aa
   - ACYTXH_15570: bgc=, size=56aa
   - ACYTXH_15575: bgc=, size=172aa
   - ACYTXH_15590: bgc=, size=147aa
   - ACYTXH_15620: bgc=, size=104aa
   - ACYTXH_15650: bgc=, size=203aa
   - ACYTXH_15660: bgc=, size=122aa
   - ACYTXH_15670: bgc=, size=479aa
   - ACYTXH_15680: bgc=, size=408aa
   - ACYTXH_15685: bgc=, size=128aa
   - ACYTXH_15700: bgc=, size=150aa
   - ACYTXH_15725: bgc=, size=53aa
   - ACYTXH_15735: bgc=, size=224aa
   - ACYTXH_16075: bgc=, size=67aa
   - ACYTXH_16085: bgc=, size=40aa
   - ACYTXH_16090: bgc=, size=44aa
   - ACYTXH_16135: bgc=, size=78aa
   - ACYTXH_16150: bgc=, size=75aa
   - ACYTXH_16155: bgc=, size=129aa
   - ACYTXH_16175: bgc=, size=1221aa
   - ACYTXH_16180: bgc=, size=65aa
   - ACYTXH_16225: bgc=, size=99aa
   - ACYTXH_16230: bgc=, size=36aa
   - ACYTXH_16250: bgc=, size=173aa
   - ACYTXH_16255: bgc=, size=386aa
   - ACYTXH_16260: bgc=, size=77aa
   - ACYTXH_16330: bgc=, size=45aa
   - ACYTXH_16335: bgc=, size=176aa
   - ACYTXH_16370: bgc=, size=141aa
   - ACYTXH_16380: bgc=, size=65aa
   - ACYTXH_16405: bgc=, size=125aa
   - ACYTXH_16785: bgc=, size=168aa
   - ACYTXH_16815: bgc=, size=264aa
   - ACYTXH_16875: bgc=, size=286aa
   - ACYTXH_16950: bgc=, size=218aa
   - ACYTXH_17110: bgc=, size=83aa
   - ACYTXH_17115: bgc=, size=80aa
   - ACYTXH_17170: bgc=, size=126aa
   - ACYTXH_17190: bgc=, size=60aa
   - ACYTXH_17220: bgc=, size=79aa
   - ACYTXH_17225: bgc=, size=123aa
   - ACYTXH_17235: bgc=, size=169aa
   - ACYTXH_17245: bgc=, size=190aa
   - ACYTXH_17265: bgc=, size=669aa
   - ACYTXH_17285: bgc=, size=138aa
   - ACYTXH_17325: bgc=, size=81aa
   - ACYTXH_17360: bgc=, size=58aa
   - ACYTXH_17365: bgc=, size=130aa
   - ACYTXH_17370: bgc=, size=76aa
   - ACYTXH_17375: bgc=, size=70aa
   - ACYTXH_17405: bgc=, size=52aa
   - ACYTXH_17475: bgc=, size=360aa
   - ACYTXH_17490: bgc=, size=64aa
   - ACYTXH_17560: bgc=, size=128aa
   - ACYTXH_17590: bgc=, size=194aa
   - ACYTXH_17620: bgc=, size=40aa
   - ACYTXH_17635: bgc=, size=147aa
   - ACYTXH_17645: bgc=, size=66aa
   - ACYTXH_17665: bgc=, size=48aa
   - ACYTXH_17670: bgc=, size=232aa
   - ACYTXH_17675: bgc=, size=66aa
   - ACYTXH_17680: bgc=, size=110aa
   - ACYTXH_17690: bgc=, size=45aa
   - ACYTXH_17705: bgc=, size=47aa
   - ACYTXH_17715: bgc=, size=127aa
   - ACYTXH_17725: bgc=, size=313aa
   - ACYTXH_17760: bgc=, size=338aa
   - ACYTXH_17790: bgc=, size=837aa
   - ACYTXH_17810: bgc=, size=103aa
   - ACYTXH_17840: bgc=, size=57aa
   - ACYTXH_17870: bgc=, size=103aa
   - ACYTXH_17875: bgc=, size=1020aa
   - ACYTXH_17995: bgc=, size=40aa
   - ACYTXH_18070: bgc=, size=60aa
   - ACYTXH_18075: bgc=, size=157aa
   - ACYTXH_18080: bgc=, size=100aa
   - ACYTXH_18095: bgc=, size=142aa
   - ACYTXH_18100: bgc=, size=213aa
   - ACYTXH_18105: bgc=, size=446aa
   - ACYTXH_18110: bgc=, size=116aa
   - ACYTXH_18120: bgc=, size=78aa
   - ACYTXH_18145: bgc=, size=129aa
   - ACYTXH_18155: bgc=, size=144aa
   - ACYTXH_18175: bgc=, size=54aa
   - ACYTXH_18185: bgc=, size=67aa
   - ACYTXH_18195: bgc=, size=290aa
   - ACYTXH_18270: bgc=, size=64aa
   - ACYTXH_18335: bgc=, size=109aa
   - ACYTXH_18345: bgc=, size=204aa
   - ACYTXH_18375: bgc=, size=225aa
   - ACYTXH_18410: bgc=, size=64aa
   - ACYTXH_18415: bgc=, size=131aa
   - ACYTXH_18425: bgc=, size=125aa
   - ACYTXH_18435: bgc=, size=277aa
   - ACYTXH_18440: bgc=, size=126aa
   - ACYTXH_18445: bgc=, size=2aa
   - ACYTXH_18480: bgc=, size=68aa
   - ACYTXH_18515: bgc=, size=44aa
   - ACYTXH_18520: bgc=, size=110aa
   - ACYTXH_18580: bgc=, size=158aa
   - ACYTXH_18620: bgc=, size=120aa
   - ACYTXH_18660: bgc=, size=40aa
   - ACYTXH_18670: bgc=, size=207aa
   - ACYTXH_18685: bgc=, size=343aa
   - ACYTXH_18695: bgc=, size=111aa
   - ACYTXH_18700: bgc=, size=587aa
   - ACYTXH_18800: bgc=, size=50aa
   - ACYTXH_19035: bgc=, size=66aa
   - ACYTXH_19040: bgc=, size=73aa
   - ACYTXH_19080: bgc=, size=167aa
   - ACYTXH_19110: bgc=, size=30aa
   - ACYTXH_19135: bgc=, size=44aa
